size,time,local,filesystem,branches,process
2491969571,157.747,true,hdfs,-1,false
2292218233,187.633,true,hdfs,-1,false
2629312303,69.6757,true,hdfs,-1,false
2488926623,336.221,true,hdfs,-1,false
2864134334,3203.37,true,zfs,-1,false
2276031930,1580.85,true,zfs,-1,false
3109063397,136.584,true,hdfs,-1,false
2316380122,34.4691,true,hdfs,-1,false
2113786998,69.574,true,hdfs,-1,false
2136720568,30.8542,true,hdfs,-1,false
2305394877,38.6183,true,hdfs,-1,false
2593130868,1187.51,true,zfs,-1,false
2261029662,836.522,true,zfs,-1,false
2497080381,285.545,true,hdfs,-1,false
3305696845,1553.68,true,zfs,-1,false
2911043757,146.521,true,hdfs,-1,false
2627059208,2003.18,true,zfs,-1,false
2248450801,1242.56,true,zfs,-1,false
2133146599,2165.18,true,zfs,-1,false
2799762677,89.8768,true,hdfs,-1,false
2488341627,1500.5,true,zfs,-1,false
2601752044,162.545,true,hdfs,-1,false
2596182512,69.0539,true,zfs,-1,false
2261329384,1809.09,true,zfs,-1,false
2661957521,227.687,true,hdfs,-1,false
2491548109,137.636,true,hdfs,-1,false
2501350829,115.354,true,hdfs,-1,false
2697665875,133.33,true,hdfs,-1,false
2747713802,1609.57,true,zfs,-1,false
2863693200,108.448,true,hdfs,-1,false
3297695015,142.453,true,hdfs,-1,false
2627352548,277.428,true,hdfs,-1,false
3010853191,75.9779,true,hdfs,-1,false
2557189806,51.2507,true,hdfs,-1,false
2410943486,2064.14,true,zfs,-1,false
2530958051,1682.48,true,zfs,-1,false
2735188127,1179.49,true,zfs,-1,false
2649745960,1607.96,true,zfs,-1,false
2968740679,302.123,true,hdfs,-1,false
2706200938,43.8652,true,hdfs,-1,false
2401456385,2032.73,true,zfs,-1,false
2049310876,93.8532,true,hdfs,-1,false
2739632555,1137.05,true,zfs,-1,false
2422602064,1362.06,true,zfs,-1,false
2912219809,1040.74,true,zfs,-1,false
2433235953,34.0999,true,hdfs,-1,false
2962919459,1898.27,true,zfs,-1,false
2633761226,186.184,true,hdfs,-1,false
3058352121,1615.08,true,zfs,-1,false
3007747295,391.133,true,hdfs,-1,false
2679576123,157.302,true,hdfs,-1,false
3066295114,2233.48,true,zfs,-1,false
1887920501,1133.87,true,zfs,-1,false
1710016836,1095.33,true,zfs,-1,false
2204847262,63.0147,true,hdfs,-1,false
2973973685,50.1101,true,hdfs,-1,false
2559386591,1455.08,true,zfs,-1,false
2704618205,259.657,true,hdfs,-1,false
2873002402,87.4851,true,hdfs,-1,false
2158005300,445.304,true,hdfs,-1,false
2411599065,210.612,true,hdfs,-1,false
2542445896,160.371,true,hdfs,-1,false
2988829010,292.423,true,hdfs,-1,false
2183797296,2633.85,true,zfs,-1,false
2553024950,2647.59,true,zfs,-1,false
2196546879,36.2696,true,hdfs,-1,false
2933252266,189.321,true,hdfs,-1,false
2436016416,221.178,true,hdfs,-1,false
2496979587,150.795,true,hdfs,-1,false
2295355525,36.3518,true,hdfs,-1,false
1995781647,1132.74,true,zfs,-1,false
1937705357,577.123,true,zfs,-1,false
2520734643,140.968,true,hdfs,-1,false
2526260388,73.5617,true,hdfs,-1,false
2830308181,158.023,true,hdfs,-1,false
2664351953,164.796,true,hdfs,-1,false
2306318037,2561.12,true,zfs,-1,false
2508466546,2350.18,true,zfs,-1,false
2957819414,701.846,true,zfs,-1,false
2958790608,2836.36,true,zfs,-1,false
3150698301,338.406,true,hdfs,-1,false
2189922996,1520.65,true,zfs,-1,false
2521918745,41.8519,true,hdfs,-1,false
2273257722,1799.32,true,zfs,-1,false
2412432832,1570.99,true,zfs,-1,false
2653555531,51.0516,true,hdfs,-1,false
3090011871,2582.9,true,zfs,-1,false
2150299891,101.067,true,hdfs,-1,false
2936582539,1046.7,true,zfs,-1,false
2433292719,2794.25,true,zfs,-1,false
2240151947,340.809,true,hdfs,-1,false
1834731240,106.693,true,hdfs,-1,false
2934504542,1387.44,true,zfs,-1,false
1846461725,971.808,true,zfs,-1,false
2746915345,36.4373,true,hdfs,-1,false
3275428610,49.1032,true,hdfs,-1,false
3563068882,54.6229,true,hdfs,-1,false
1601538565,577.102,true,zfs,-1,false
2493315498,262.255,true,hdfs,-1,false
2255114603,84.7988,true,hdfs,-1,false
2316380122,1771.54,true,zfs,-1,false
3130932652,71.1537,true,hdfs,-1,false
1834399416,124.764,true,hdfs,-1,false
2098906510,323.565,true,hdfs,-1,false
2113786998,1553.4,true,zfs,-1,false
2305394877,2562.32,true,zfs,-1,false
2872776222,110.136,true,hdfs,-1,false
2941605641,212.911,true,hdfs,-1,false
3021474241,54.8732,true,hdfs,-1,false
2559746432,136.056,true,hdfs,-1,false
2571714592,107.155,true,hdfs,-1,false
2398714795,1271.11,true,zfs,-1,false
3305696845,113.088,true,hdfs,-1,false
3068431440,76.2925,true,hdfs,-1,false
3034620086,99.3397,true,hdfs,-1,false
2670086462,58.6608,true,hdfs,-1,false
2241265945,84.6855,true,hdfs,-1,false
2683976564,1235.39,true,zfs,-1,false
2351317310,1574.72,true,zfs,-1,false
3104069302,157.964,true,hdfs,-1,false
2571313042,1557.14,true,zfs,-1,false
2465545533,41.6529,true,hdfs,-1,false
2955237770,1861,true,zfs,-1,false
3256016728,121.005,true,hdfs,-1,false
3303737818,1182.3,true,zfs,-1,false
2527333064,230.167,true,hdfs,-1,false
2410791653,142.069,true,hdfs,-1,false
2491969571,1441.62,true,zfs,-1,false
2514509159,228.347,true,hdfs,-1,false
2168101790,1289.3,true,zfs,-1,false
3297695015,1235.39,true,zfs,-1,false
1612857383,2853.14,true,zfs,-1,false
2784891580,124.042,true,hdfs,-1,false
2545952291,1784.41,true,zfs,-1,false
2914889697,111.897,true,hdfs,-1,false
2410943486,73.5896,true,hdfs,-1,false
2557189806,1370.16,true,zfs,-1,false
2723193366,39.619,true,hdfs,-1,false
2488964446,64.2619,true,hdfs,-1,false
2530958051,124.45,true,hdfs,-1,false
2168508539,1943.61,true,zfs,-1,false
2649745960,110.246,true,hdfs,-1,false
2322408453,54.148,true,hdfs,-1,false
2627059208,122.162,true,hdfs,-1,false
2799762677,587.506,true,zfs,-1,false
2747625125,171.573,true,hdfs,-1,false
1999618732,1532.29,true,zfs,-1,false
2133146599,32.7717,true,hdfs,-1,false
2741409275,43.0029,true,hdfs,-1,false
2491548109,2333.51,true,zfs,-1,false
2840812129,1754.28,true,zfs,-1,false
2457007436,2382.48,true,zfs,-1,false
2596182512,46.2791,true,hdfs,-1,false
3367517137,1905.88,true,zfs,-1,false
2747713802,245.204,true,hdfs,-1,false
2501350829,2220.08,true,zfs,-1,false
3349296233,52.5296,true,hdfs,-1,false
2973973685,1188.03,true,zfs,-1,false
2979178131,249.07,true,hdfs,-1,false
2183797296,129.742,true,hdfs,-1,false
2330279160,198.88,true,hdfs,-1,false
3508200737,59.7125,true,hdfs,-1,false
2777425502,173.874,true,hdfs,-1,false
2436016416,521.451,true,zfs,-1,false
2933252266,1791.83,true,zfs,-1,false
2305882062,1877.09,true,zfs,-1,false
2315908541,155.958,true,hdfs,-1,false
2995322045,117.252,true,hdfs,-1,false
2331422578,332.256,true,hdfs,-1,false
2981199617,49.0764,true,hdfs,-1,false
2787150525,120.317,true,hdfs,-1,false
2969534551,48.6767,true,hdfs,-1,false
2755551440,215.391,true,hdfs,-1,false
2754435373,1505.36,true,zfs,-1,false
2734432641,1534.82,true,zfs,-1,false
2962919459,43.0484,true,hdfs,-1,false
2433235953,1977.23,true,zfs,-1,false
2144004586,1944.46,true,zfs,-1,false
3266290244,107.075,true,hdfs,-1,false
3058352121,131.085,true,hdfs,-1,false
1751293168,2135.62,true,zfs,-1,false
3084103168,235.296,true,hdfs,-1,false
3047632917,211.849,true,hdfs,-1,false
2389834698,225.413,true,hdfs,-1,false
2842494758,151.995,true,hdfs,-1,false
2670919200,202.411,true,hdfs,-1,false
