size,time,local,filesystem,branches,process
2175779242,16.1397,false,hdfs,50,true
2195824852,14.0215,false,hdfs,50,true
2113101695,1644.68,true,zfs,50,true
2905022571,96.5744,true,zfs,50,true
2966125962,18.8143,false,hdfs,50,true
2805564807,1059.16,true,zfs,50,true
2132634831,12.072,false,hdfs,50,true
2473689089,23.9271,false,hdfs,50,true
2748137809,1168.69,true,zfs,50,true
2595536131,18.2299,false,hdfs,50,true
293928252,282.158,true,zfs,50,true
1896926809,1991.02,true,zfs,50,true
2622652363,15.0314,false,hdfs,50,true
2770476308,15.1911,false,hdfs,50,true
2900625438,22.5294,false,hdfs,50,true
2778334754,1263.9,true,zfs,50,true
2891680911,227.662,true,zfs,50,true
2537734261,18.5795,false,hdfs,50,true
2607268085,18.3051,false,hdfs,50,true
2016224435,12.3469,false,hdfs,50,true
2750348816,94.4924,false,hdfs,50,true
2588499432,1952.05,true,zfs,50,true
2899750614,21.8065,false,hdfs,50,true
2930616096,17.9992,false,hdfs,50,true
2636486642,17.1293,false,hdfs,50,true
2622177016,13.1994,false,hdfs,50,true
3218051189,266.28,true,zfs,50,true
2304549477,610.75,true,zfs,50,true
2670919200,78.0294,false,hdfs,50,true
2586279535,18.4306,false,hdfs,50,true
3029748768,17.9736,false,hdfs,50,true
2697213276,17.4037,false,hdfs,50,true
2594351211,949.848,true,zfs,50,true
2339982738,19.7038,false,hdfs,50,true
2685254823,104.622,false,hdfs,50,true
3084103168,23.9501,false,hdfs,50,true
2694501903,180.828,true,zfs,50,true
1904811070,1000.51,true,zfs,50,true
3047632917,21.5119,false,hdfs,50,true
2715488424,1422.81,true,zfs,50,true
3180500134,29.2535,false,hdfs,50,true
2467101135,14.8854,false,hdfs,50,true
2442263588,1719.4,true,zfs,50,true
2842494758,17.9684,false,hdfs,50,true
2563572106,1586.92,true,zfs,50,true
3197757944,17.3489,false,hdfs,50,true
2853716439,2051.93,true,zfs,50,true
2389834698,798.274,true,zfs,50,true
2282995581,11.4207,false,hdfs,50,true
2093113353,11.9066,false,hdfs,50,true
2426848113,798.275,true,zfs,50,true
2486215168,761.57,true,zfs,50,true
2015543742,11.6328,false,hdfs,50,true
3049322502,22.1646,false,hdfs,50,true
2382002935,12.7772,false,hdfs,50,true
2294930721,16.958,false,hdfs,50,true
3242141112,19.5555,false,hdfs,50,true
2609431546,1742.27,true,zfs,50,true
2935306989,226.008,true,zfs,50,true
2745865059,1764.58,true,zfs,50,true
2527554361,391.627,true,zfs,50,true
3046512446,15.176,false,hdfs,50,true
2538821436,15.6703,false,hdfs,50,true
2433292719,66.6502,false,hdfs,50,true
2609447578,13.2939,false,hdfs,50,true
2706013868,1303.65,true,zfs,50,true
2778688237,2478.76,true,zfs,50,true
3208551770,23.4943,false,hdfs,50,true
2273095683,42.8399,true,zfs,50,true
2691394103,1789.59,true,zfs,50,true
3123065939,1179.89,true,zfs,50,true
1414614209,369.703,true,zfs,50,true
2770842721,16.0089,false,hdfs,50,true
2508466546,11.6364,false,hdfs,50,true
1999768753,11.2068,false,hdfs,50,true
2958790608,21.361,false,hdfs,50,true
3228161919,2531.64,true,zfs,50,true
3311262354,26.3003,false,hdfs,50,true
2227517607,34.4177,true,zfs,50,true
2848407847,16.5563,false,hdfs,50,true
3024610747,440.422,true,zfs,50,true
2753680403,2270.05,true,zfs,50,true
2910110248,21.5848,false,hdfs,50,true
2126279259,11.5628,false,hdfs,50,true
2209846120,1205.89,true,zfs,50,true
2512574352,798.491,true,zfs,50,true
2390135294,12.2949,false,hdfs,50,true
2798529954,1809.81,true,zfs,50,true
2781351732,17.1506,false,hdfs,50,true
2825964005,50.8917,false,hdfs,50,true
2631932375,14.3533,false,hdfs,50,true
2111941352,25.8476,false,hdfs,50,true
831114077,5.60023,false,hdfs,50,true
2379959688,12.4954,false,hdfs,50,true
2936188226,22.6844,false,hdfs,50,true
2869108867,16.5528,false,hdfs,50,true
2144004586,16.1192,false,hdfs,50,true
2323558742,1707.08,true,zfs,50,true
3043793239,18.1754,false,hdfs,50,true
2456069195,18.4377,false,hdfs,50,true
1947495538,1313.37,true,zfs,50,true
2537997493,420.672,true,zfs,50,true
3019400370,18.1166,false,hdfs,50,true
3020515272,912.549,true,zfs,50,true
2592156266,750.476,true,zfs,50,true
2152171494,13.7125,false,hdfs,50,true
3434055760,28.6398,false,hdfs,50,true
3131444118,1311.97,true,zfs,50,true
3014807424,18.5354,false,hdfs,50,true
2356738244,1370.27,true,zfs,50,true
2182851484,1205.77,true,zfs,50,true
2054772891,1703.24,true,zfs,50,true
1992795401,379.379,true,zfs,50,true
2931787123,1707.41,true,zfs,50,true
2510900488,18.7104,false,hdfs,50,true
2294769590,1440.87,true,zfs,50,true
2394292985,14.1738,false,hdfs,50,true
3023284311,23.6947,false,hdfs,50,true
2615939585,15.1399,false,hdfs,50,true
2865272544,2061.36,true,zfs,50,true
2726739888,1264.62,true,zfs,50,true
2484708911,316.709,true,zfs,50,true
3335816886,1523.94,true,zfs,50,true
2784754013,1964.01,true,zfs,50,true
3160866299,23.4373,false,hdfs,50,true
3048099754,13.2437,false,hdfs,50,true
2763071205,21.0341,false,hdfs,50,true
2295802135,757.864,true,zfs,50,true
2935366621,26.8161,false,hdfs,50,true
2433933355,14.2238,false,hdfs,50,true
2526258843,1988.85,true,zfs,50,true
3186052857,1031.97,true,zfs,50,true
2602474490,19.5532,false,hdfs,50,true
2509465367,16.7091,false,hdfs,50,true
2214561215,1880.52,true,zfs,50,true
2590292393,1595.88,true,zfs,50,true
2935891787,1270.76,true,zfs,50,true
3430163636,29.6246,false,hdfs,50,true
2749164267,1515.58,true,zfs,50,true
2457007436,14.9276,false,hdfs,50,true
2734648172,15.5688,false,hdfs,50,true
2542580748,21.9825,false,hdfs,50,true
2485201039,2023.67,true,zfs,50,true
2335498226,18.121,false,hdfs,50,true
2134780409,17.647,false,hdfs,50,true
3085078428,1201.57,true,zfs,50,true
2657458695,1961.99,true,zfs,50,true
3087995446,19.8241,false,hdfs,50,true
2672167664,952.031,true,zfs,50,true
2315592560,11.5815,false,hdfs,50,true
2875194346,20.9997,false,hdfs,50,true
2753361009,1643.17,true,zfs,50,true
2750284654,15.4048,false,hdfs,50,true
2871554342,245.241,true,zfs,50,true
2403779104,1763.62,true,zfs,50,true
2786724991,30.4957,false,hdfs,50,true
2449315273,13.9274,false,hdfs,50,true
2374952481,14.8369,false,hdfs,50,true
2746615087,1280.81,true,zfs,50,true
3065890241,21.2343,false,hdfs,50,true
2592461825,1476.38,true,zfs,50,true
2549406644,12.6362,false,hdfs,50,true
2916647220,25.4285,false,hdfs,50,true
2653345568,1111.12,true,zfs,50,true
2574741408,875.202,true,zfs,50,true
2439388783,12.7911,false,hdfs,50,true
3046763177,265.968,true,zfs,50,true
2168508539,13.8278,false,hdfs,50,true
2403339553,16.6766,false,hdfs,50,true
2574356266,1419.61,true,zfs,50,true
3019642557,1529.54,true,zfs,50,true
2378484721,1142.4,true,zfs,50,true
1849836761,1295.36,true,zfs,50,true
3436934874,604.324,true,zfs,50,true
3249658240,24.0185,false,hdfs,50,true
2699206499,18.3202,false,hdfs,50,true
2723584835,16.2633,false,hdfs,50,true
1612857383,8.95531,false,hdfs,50,true
3270538869,1947.3,true,zfs,50,true
2484252448,14.0964,false,hdfs,50,true
1955366098,13.1362,false,hdfs,50,true
2255114603,16.7335,false,hdfs,50,true
2630652662,16.5951,false,hdfs,50,true
2838812554,1867.12,true,zfs,50,true
3275428610,30.7382,false,hdfs,50,true
2786958543,1599.08,true,zfs,50,true
2098906510,391.709,true,zfs,50,true
2363913540,13.6018,false,hdfs,50,true
3563068882,24.9585,false,hdfs,50,true
2447107336,1270.4,true,zfs,50,true
2382644461,1531.57,true,zfs,50,true
