cdms-04-1,False,0
cdms-04-2,False,0
cdms-04-3,False,0
cdms-04-4,False,0
cdms1,False,0
cdms3,False,0
gopher-01-1,True,2.7T
gopher-01-1,True,2.7T
gopher-01-2,True,2.7T
gopher-01-2,True,2.7T
gopher-01-3,True,2.7T
gopher-01-3,True,2.7T
gopher-01-4,True,2.7T
gopher-01-4,True,2.7T
gopher-02-1,True,2.7T
gopher-02-1,True,2.7T
gopher-02-2,True,2.7T
gopher-02-2,True,2.7T
gopher-02-3,True,1.8T
gopher-02-3,True,2.7T
gopher-02-4,True,2.7T
gopher-02-4,True,2.7T
gopher-03-1,True,2.7T
gopher-03-1,True,2.7T
gopher-03-2,True,2.7T
gopher-03-2,True,2.7T
gopher-03-3,True,2.7T
gopher-03-3,True,2.7T
gopher-03-4,True,2.7T
gopher-03-4,True,2.7T
gopher-04-1,True,2.7T
gopher-04-1,True,2.7T
gopher-04-2,True,2.7T
gopher-04-2,True,1.8T
gopher-04-3,True,2.7T
gopher-04-3,True,2.7T
gopher-04-4,True,2.7T
gopher-04-4,True,2.7T
gopher-05-1,True,2.7T
gopher-05-1,True,2.7T
gopher-05-2,True,2.7T
gopher-05-2,True,2.7T
gopher-05-3,True,1.8T
gopher-05-3,True,2.7T
gopher-05-4,True,2.7T
gopher-05-4,True,2.7T
gopher-06-1,True,1.8T
gopher-06-1,True,2.7T
gopher-06-2,True,2.7T
gopher-06-2,True,2.7T
gopher-06-3,True,2.7T
gopher-06-3,True,2.7T
gopher-06-4,True,2.7T
gopher-06-4,True,2.7T
gopher-07-1,True,2.7T
gopher-07-1,True,2.7T
gopher-07-2,True,1.8T
gopher-07-2,True,2.7T
gopher-07-3,True,2.7T
gopher-07-3,True,2.7T
gopher-07-4,True,2.7T
gopher-07-4,True,2.7T
gopher-08-1,True,2.7T
gopher-08-1,True,2.7T
gopher-08-2,True,2.7T
gopher-08-2,True,2.7T
gopher-08-3,True,2.7T
gopher-08-3,True,2.7T
gopher-08-4,True,2.7T
gopher-08-4,True,2.7T
gopher-09-1,True,2.7T
gopher-09-1,True,2.7T
gopher-09-2,True,2.7T
gopher-09-2,True,2.7T
gopher-09-3,True,2.7T
gopher-09-3,True,2.7T
gopher-09-4,True,2.7T
gopher-09-4,True,2.7T
gopher-10-1,True,2.7T
gopher-10-1,True,2.7T
gopher-10-2,True,2.7T
gopher-10-2,True,2.7T
gopher-10-3,True,2.7T
gopher-10-3,True,2.7T
gopher-10-4,True,2.7T
gopher-10-4,True,2.7T
gopher-11-1,True,2.7T
gopher-11-1,True,2.7T
gopher-11-2,True,2.7T
gopher-11-2,True,2.7T
gopher-11-3,True,2.7T
gopher-11-3,True,2.7T
gopher-11-4,True,2.7T
gopher-11-4,True,2.7T
gopher-12-1,True,2.7T
gopher-12-1,True,2.7T
gopher-12-2,True,2.7T
gopher-12-2,True,2.7T
gopher-12-3,True,2.7T
gopher-12-3,True,2.7T
scorpion1,True,2.8T
scorpion1,True,1.9T
scorpion1,True,3.7T
scorpion2,False,0
scorpion3,True,2.8T
scorpion3,True,3.7T
scorpion4,True,2.3T
scorpion4,True,1.8T
scorpion4,True,2.3T
scorpion5,True,2.8T
scorpion5,True,1.9T
scorpion5,True,1.9T
scorpion6,True,2.8T
scorpion6,True,5.5T
scorpion6,True,3.7T
scorpion7,False,0
scorpion8,True,2.8T
scorpion8,True,1.8T
scorpion8,True,2.8T
scorpion9,True,2.8T
scorpion9,True,3.7T
scorpion9,True,1.9T
scorpion10,False,0
scorpion11,True,2.8T
scorpion11,True,5.5T
scorpion11,True,1.9T
scorpion12,True,2.8T
scorpion12,True,5.5T
scorpion12,True,1.9T
scorpion13,False,0
scorpion14,True,2.8T
scorpion14,True,1.9T
scorpion14,True,1.9T
scorpion15,False,0
scorpion16,True,2.8T
scorpion16,True,1.8T
scorpion16,True,1.9T
scorpion17,True,2.8T
scorpion17,True,1.9T
scorpion17,True,2.8T
scorpion18,True,2.8T
scorpion18,True,1.9T
scorpion18,True,2.8T
scorpion19,True,2.8T
scorpion19,True,1.9T
scorpion20,True,2.8T
scorpion20,True,5.5T
scorpion20,True,3.7T
scorpion21,True,2.8T
scorpion21,True,1.9T
